する	しよ	動詞・自立
てる	てる	動詞・非自立
こと	こと	名詞・非自立・一般
ん	ん	名詞・非自立・一般
の	の	名詞・非自立・一般
さん	さん	名詞・接尾・人名	60
れる	れ	動詞・接尾	47
なる	なっ	動詞・自立	47
いる	いる	動詞・非自立	45
言う	いっ	動詞・自立	40
ない	ない	形容詞・自立	34
それ	それ	名詞・代名詞・一般	33
いる	いる	動詞・自立	30
その	その	連体詞	29
よう	よう	名詞・非自立・助動詞語幹	26
お	お	接頭詞・名詞接続	25
ある	あっ	動詞・自立	25
いい	いい	形容詞・自立	24
あの	あの	連体詞	23
これ	これ	名詞・代名詞・一般	20
くれる	くれ	動詞・非自立	20
られる	られ	動詞・接尾	19
もう	もう	副詞・一般	19
そう	そう	副詞・助詞類接続	18
できる	でき	動詞・自立	18
え	え	フィラー	17
そんな	そんな	連体詞	17
でも	でも	接続詞	16
この	この	連体詞	15
いい	いい	形容詞・非自立	15
だから	だから	接続詞	14
どう	どう	副詞・助詞類接続	13
なんで	なんで	副詞・一般	13
あ	あ	感動詞	12
え	え	感動詞	11
こんな	こんな	連体詞	11
みたい	みたい	名詞・非自立・形容動詞語幹	10
なん	なん	名詞・代名詞・一般	9
で	で	接続詞	9
じゃあ	じゃあ	接続詞	9
こっち	こっち	名詞・代名詞・一般	9
くん	くん	名詞・接尾・人名	9
ここ	ここ	名詞・代名詞・一般	9
せる	せ	動詞・接尾	9
もの	もの	名詞・非自立・一般	9
ご	ご	接頭詞・名詞接続	9
ああ	ああ	感動詞	8
いう	いえ	動詞・自立	8
そういう	そういう	連体詞	8
ちょっと	ちょっと	副詞・助詞類接続	8
すみません	すみません	感動詞	8
そこ	そこ	名詞・代名詞・一般	8
おく	おい	動詞・非自立	8
いや	いや	接続詞	7
じゃ	じゃ	接続詞	7
あれ	あれ	名詞・代名詞・一般	7
はい	はい	感動詞	6
ねぇ	ねぇ	感動詞	6
しまう	しまう	動詞・非自立	5
どういう	どういう	連体詞	5
どこ	どこ	名詞・代名詞・一般	5
それで	それで	接続詞	5
たち	たち	名詞・接尾・一般	5
えっ	えっ	感動詞	5
う	う	感動詞	4
く	っ	動詞・非自立	4
いえ	いえ	感動詞	4
どうして	どうして	副詞・一般	4
なに	なに	名詞・代名詞・一般	4
ちゃう	ちゃっ	動詞・非自立	4
よ	よ	名詞・非自立・助動詞語幹	3
そんなに	そんなに	副詞・一般	3
ら	ら	名詞・接尾・一般	3
そうね	そうね	感動詞	3
では	では	接続詞	3
こういう	こういう	連体詞	3
こうして	こうして	接続詞	3
まっ	まっ	接頭詞・名詞接続	3
さぁ	さぁ	感動詞	3
なる	なっ	動詞・非自立	2
ちょ	ちょ	名詞・動詞非自立的	2
どうか	どうか	副詞・一般	2
こう	こう	副詞・助詞類接続	2
そう	そう	名詞・接尾・助動詞語幹	2
まぁ	まぁ	感動詞	2
わぁ	わぁ	感動詞	2
くる	き	動詞・非自立	7
くださる	ください	動詞・自立
まあ	まあ	副詞・一般
いつ	いつ	名詞・代名詞・一般
中	なか	名詞・非自立・副詞可能	2
くる	くる	動詞・自立
あっ	あっ	感動詞	29
なさる	なさい	動詞・非自立	6
人	にん	名詞・接尾・助数詞	6
来る	き	動詞・自立	6
前	まえ	名詞・副詞可能	6
国見	くにみ	名詞・固有名詞・人名・姓	4
的	てき	名詞・接尾・形容動詞語幹	4
行く	いこ	動詞・自立	5
あげる	あげる	動詞・非自立	15
くださる	ください	動詞・非自立	10
ちゃん	ちゃん	名詞・接尾・人名	10
つく	つき	動詞・自立	6
ごめん	ごめん	感動詞	6
さ	さ	名詞・接尾・特殊	6
よい	よかっ	形容詞・自立	6
みる	みる	動詞・非自立	6
おはよう	おはよう	感動詞	6
よく	よく	副詞・一般	7
だって	だって	接続詞	7
中	ちゅう	名詞・接尾・副詞可能	5
へぇ	へぇ	感動詞	2
おい	おい	感動詞	2
あの	あの	フィラー	2
ありゃ	ありゃ	感動詞
君	くん	名詞・接尾・人名
あ	あ	フィラー	9
くれる	くれ	動詞・自立	8
あっち	あっち	名詞・代名詞・一般	8
ちゃん	ちゃん	名詞・一般	7
いらっしゃる	いらっしゃい	動詞・自立	3
いただく	いただき	動詞・非自立	3
ええ	ええ	感動詞	2
こら	こら	感動詞	2
わっ	わっ	副詞・助詞類接続
あそこ	あそこ	名詞・代名詞・一般	2
